date,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
2012-01-01 00:00:00+00,100,100,30,99
2012-01-01 01:00:00+00,100,100,71,98
2012-01-01 02:00:00+00,100,100,55,100
2012-01-01 03:00:00+00,100,100,89,100
2012-01-01 04:00:00+00,100,100,90,100
2012-01-01 05:00:00+00,100,100,93,100
2012-01-01 06:00:00+00,100,100,83,98
2012-01-01 07:00:00+00,100,100,44,94
2012-01-01 08:00:00+00,100,100,94,98
2012-01-01 09:00:00+00,100,100,92,100
2012-01-01 10:00:00+00,100,98,28,100
2012-01-01 11:00:00+00,100,99,9,97
2012-01-01 12:00:00+00,100,100,19,100
2012-01-01 13:00:00+00,100,100,53,99
2012-01-01 14:00:00+00,100,100,75,100
2012-01-01 15:00:00+00,100,100,77,96
2012-01-01 16:00:00+00,100,96,100,100
2012-01-01 17:00:00+00,100,100,99,100
2012-01-01 18:00:00+00,100,100,99,100
2012-01-01 19:00:00+00,100,100,100,99
2012-01-01 20:00:00+00,100,100,100,99
2012-01-01 21:00:00+00,100,100,100,100
2012-01-01 22:00:00+00,100,100,97,95
2012-01-01 23:00:00+00,100,78,99,82
2012-01-02 00:00:00+00,100,41,97,78
2012-01-02 01:00:00+00,92,77,63,26
2012-01-02 02:00:00+00,99,44,95,97
2012-01-02 03:00:00+00,99,26,98,99
2012-01-02 04:00:00+00,100,34,97,99
2012-01-02 05:00:00+00,100,27,87,99
2012-01-02 06:00:00+00,100,24,50,100
2012-01-02 07:00:00+00,99,21,47,96
2012-01-02 08:00:00+00,95,18,10,94
2012-01-02 09:00:00+00,97,23,0,97
2012-01-02 10:00:00+00,82,15,0,79
2012-01-02 11:00:00+00,69,12,11,56
2012-01-02 12:00:00+00,82,15,30,68
2012-01-02 13:00:00+00,54,24,22,24
2012-01-02 14:00:00+00,40,18,36,3
2012-01-02 15:00:00+00,27,25,3,1
2012-01-02 16:00:00+00,29,28,0,0
2012-01-02 17:00:00+00,17,16,2,0
2012-01-02 18:00:00+00,10,9,5,0
2012-01-02 19:00:00+00,24,20,18,0
2012-01-02 20:00:00+00,39,33,29,0
2012-01-02 21:00:00+00,37,25,34,0
2012-01-02 22:00:00+00,46,39,23,0
2012-01-02 23:00:00+00,36,32,20,0
2012-01-03 00:00:00+00,72,12,6,67
2012-01-03 01:00:00+00,100,13,9,99
2012-01-03 02:00:00+00,100,31,17,100
2012-01-03 03:00:00+00,100,15,46,99
2012-01-03 04:00:00+00,93,18,14,91
2012-01-03 05:00:00+00,100,22,64,99
