date,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
2012-01-01 00:00:00+00,27,26,0,0
2012-01-01 01:00:00+00,21,21,0,0
2012-01-01 02:00:00+00,30,29,0,0
2012-01-01 03:00:00+00,26,25,0,0
2012-01-01 04:00:00+00,30,30,0,0
2012-01-01 05:00:00+00,41,40,0,0
2012-01-01 06:00:00+00,44,44,0,0
2012-01-01 07:00:00+00,59,58,0,0
2012-01-01 08:00:00+00,67,67,0,0
2012-01-01 09:00:00+00,83,82,0,0
2012-01-01 10:00:00+00,93,93,0,0
2012-01-01 11:00:00+00,93,93,0,0
2012-01-01 12:00:00+00,96,95,0,0
2012-01-01 13:00:00+00,95,94,6,0
2012-01-01 14:00:00+00,100,100,13,0
2012-01-01 15:00:00+00,97,93,12,24
2012-01-01 16:00:00+00,91,78,5,64
2012-01-01 17:00:00+00,90,78,7,63
2012-01-01 18:00:00+00,96,87,18,52
2012-01-01 19:00:00+00,96,90,8,45
2012-01-01 20:00:00+00,49,45,0,7
2012-01-01 21:00:00+00,36,31,9,0
2012-01-01 22:00:00+00,64,36,57,0
2012-01-01 23:00:00+00,96,93,80,0
2012-01-02 00:00:00+00,86,84,65,0
2012-01-02 01:00:00+00,100,100,45,0
2012-01-02 02:00:00+00,74,73,19,0
2012-01-02 03:00:00+00,26,24,6,0
2012-01-02 04:00:00+00,17,15,7,0
2012-01-02 05:00:00+00,14,12,0,1
2012-01-02 06:00:00+00,18,18,0,0
2012-01-02 07:00:00+00,31,31,0,0
2012-01-02 08:00:00+00,27,26,0,0
2012-01-02 09:00:00+00,62,60,0,5
2012-01-02 10:00:00+00,59,52,0,11
2012-01-02 11:00:00+00,76,68,0,20
2012-01-02 12:00:00+00,72,68,0,16
2012-01-02 13:00:00+00,73,68,0,15
2012-01-02 14:00:00+00,78,73,0,17
2012-01-02 15:00:00+00,60,59,0,0
2012-01-02 16:00:00+00,35,35,0,0
2012-01-02 17:00:00+00,26,25,0,0
2012-01-02 18:00:00+00,18,18,0,0
2012-01-02 19:00:00+00,11,11,0,0
2012-01-02 20:00:00+00,15,14,0,0
2012-01-02 21:00:00+00,7,6,0,0
2012-01-02 22:00:00+00,9,9,0,0
2012-01-02 23:00:00+00,3,3,0,0
2012-01-03 00:00:00+00,1,1,0,0
2012-01-03 01:00:00+00,2,1,0,0
2012-01-03 02:00:00+00,0,0,0,0
2012-01-03 03:00:00+00,1,0,0,0
2012-01-03 04:00:00+00,1,1,0,0
