date,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
2012-01-01 00:00:00+00,100,100,57,100
2012-01-01 01:00:00+00,100,100,44,98
2012-01-01 02:00:00+00,100,100,88,100
2012-01-01 03:00:00+00,100,100,23,97
2012-01-01 04:00:00+00,100,100,25,98
2012-01-01 05:00:00+00,100,100,41,92
2012-01-01 06:00:00+00,100,100,9,100
2012-01-01 07:00:00+00,100,100,12,100
2012-01-01 08:00:00+00,100,100,9,99
2012-01-01 09:00:00+00,100,100,11,92
2012-01-01 10:00:00+00,100,97,2,100
2012-01-01 11:00:00+00,100,86,20,100
2012-01-01 12:00:00+00,100,56,52,100
2012-01-01 13:00:00+00,100,41,94,99
2012-01-01 14:00:00+00,100,48,97,100
2012-01-01 15:00:00+00,100,68,93,99
2012-01-01 16:00:00+00,100,60,97,100
2012-01-01 17:00:00+00,100,47,100,100
2012-01-01 18:00:00+00,100,89,100,100
2012-01-01 19:00:00+00,100,96,100,100
2012-01-01 20:00:00+00,100,20,93,100
2012-01-01 21:00:00+00,100,4,13,100
2012-01-01 22:00:00+00,100,2,0,100
2012-01-01 23:00:00+00,95,0,2,94
2012-01-02 00:00:00+00,65,0,14,61
2012-01-02 01:00:00+00,31,0,10,22
2012-01-02 02:00:00+00,7,0,5,1
2012-01-02 03:00:00+00,14,0,13,0
2012-01-02 04:00:00+00,36,0,35,3
2012-01-02 05:00:00+00,17,1,13,8
2012-01-02 06:00:00+00,32,16,17,3
2012-01-02 07:00:00+00,3,0,2,0
2012-01-02 08:00:00+00,0,0,0,0
2012-01-02 09:00:00+00,0,0,0,0
2012-01-02 10:00:00+00,1,0,0,0
2012-01-02 11:00:00+00,2,0,2,0
2012-01-02 12:00:00+00,0,0,0,0
2012-01-02 13:00:00+00,11,10,0,0
2012-01-02 14:00:00+00,30,19,17,0
2012-01-02 15:00:00+00,38,30,14,0
2012-01-02 16:00:00+00,36,34,1,0
2012-01-02 17:00:00+00,26,25,0,0
2012-01-02 18:00:00+00,40,22,0,23
2012-01-02 19:00:00+00,98,16,0,98
2012-01-02 20:00:00+00,100,3,0,100
2012-01-02 21:00:00+00,97,0,8,97
2012-01-02 22:00:00+00,100,1,2,100
2012-01-02 23:00:00+00,98,1,52,98
2012-01-03 00:00:00+00,100,2,99,99
2012-01-03 01:00:00+00,100,4,95,100
2012-01-03 02:00:00+00,100,66,100,100
2012-01-03 03:00:00+00,100,100,99,100
2012-01-03 04:00:00+00,100,100,99,100
2012-01-03 05:00:00+00,100,100,91,98
2012-01-03 06:00:00+00,100,100,61,99
2012-01-03 07:00:00+00,100,100,85,94
2012-01-03 08:00:00+00,100,100,92,96
2012-01-03 09:00:00+00,100,100,94,98
2012-01-03 10:00:00+00,100,100,98,99
2012-01-03 11:00:00+00,100,100,99,94
2012-01-03 12:00:00+00,100,80,100,99
2012-01-03 13:00:00+00,78,11,56,74
2012-01-03 14:00:00+00,10,6,2,3
2012-01-03 15:00:00+00,26,17,18,0
2012-01-03 16:00:00+00,15,15,0,0
2012-01-03 17:00:00+00,1,0,0,0
2012-01-03 18:00:00+00,0,0,0,0
2012-01-03 19:00:00+00,0,0,0,0
2012-01-03 20:00:00+00,0,0,0,0
2012-01-03 21:00:00+00,0,0,0,0
2012-01-03 22:00:00+00,1,1,0,0
2012-01-03 23:00:00+00,7,5,4,0
2012-01-04 00:00:00+00,14,14,2,0
2012-01-04 01:00:00+00,37,34,3,0
2012-01-04 02:00:00+00,1,0,0,0
2012-01-04 03:00:00+00,0,0,0,0
2012-01-04 04:00:00+00,0,0,0,0
2012-01-04 05:00:00+00,0,0,0,0
2012-01-04 06:00:00+00,0,0,0,0
2012-01-04 07:00:00+00,5,0,0,5
